N #,Tank Type,Tank Size,Contractor
N612AX,DC-10,9400,10 Tanker
N131CG,C130Q,4000,Coulson Aircrane
N292EA,MD-87,3000,Aero Air
N295EA,MD-87,3000,Aero Air
N635AC,RJ85,3000,Aero Flite
N839AC,RJ85,3000,Aero Flite
N470NA,BAe-146,3000,Neptune Aviation
N475NA,BAe-146,3000,Neptune Aviation
N474NA,BAe-146,3000,Neptune Aviation
N478NA,BAe-146,3000,Neptune Aviation
N416AC,RJ85,3000,Aero Flite
N374AC,RJ85,3000,Aero Flite
N603AX,DC-10,9400,10 Tanker
N137CG,B737,4000,Coulson Aircrane
N325AC,RJ85,3000,Aero Flite
N355AC,RJ85,3000,Aero Flite
N297EA,MD-87,3000,Aero Air
N291EA,MD-87,3000,Aero Air
N522AX,DC-10,9400,10 Tanker
N477NA,BAe-146,3000,Neptune Aviation
N17085,DC-10,9400,10 Tanker
N471NA,BAe-146,3000,Neptune Aviation
N392AC,CL-415,1600,Aero Flite
N385AC,CL-415,1600,Aero Flite
N417BT,CL-215,1400,Bridger Airtanker
N418BT,CL-215,1400,Bridger Airtanker
